locus,feature,variant_flag,ms_list,total_count
corpus,  deleted,0,5,2
corpus,  inserted,0,410,5
corpus,", inserted",0,88,1
corpus,. deleted,0,40,1
corpus,a deleted,0,"15,400,410,5,510,6,60,83,88",256
corpus,a for ai,0,"15,400,410,5,510,6,60,83,88",50
corpus,a for au,0,5,2
corpus,a for aē,0,"400,410,5,6,60,83,88",13
corpus,a for aō,0,"410,5,60,88",11
corpus,a for c,0,400,2
corpus,a for e,0,"15,40,400,410,5,510,6,60,83,88",39
corpus,a for h,1,"5,60,83",3
corpus,a for i,0,"15,400,410,5,510,6,60,83,88",49
corpus,a for ii,0,410,1
corpus,a for m,0,"5,60,83,88",5
corpus,a for n,0,"400,60,83,88",4
corpus,a for o,0,"15,410",2
corpus,a for t,1,"6,88",3
corpus,a for u,0,"410,88",3
corpus,a for ā,0,"15,400,410,5,510,60,83,88",45
corpus,a for āi,0,88,1
corpus,a for ā̊,0,"15,5,60",5
corpus,a for ą,0,"60,83",6
corpus,a for ē,0,"410,88",4
corpus,a for ī,0,"15,6,83",5
corpus,a for ō,0,"15,400,410,5,60,83,88",11
corpus,a for ōi,0,15,1
corpus,a for ū,0,60,1
corpus,a for ə,0,"15,40,400,410,5,510,6,60,83,88",139
corpus,a for ə̄,0,"400,410,5,60",5
corpus,a for ϑ,0,83,2
corpus,a for ṇ,0,5,1
corpus,a for ạ,0,15,1
corpus,a inserted,0,"15,40,400,410,5,510,6,60,83,88",294
corpus,ai deleted,0,"15,410,510,6,60",16
corpus,ai for a,0,"15,40,400,410,5,510,6,60,83,88",207
corpus,ai for au,0,15,2
corpus,ai for aē,0,"15,400,410,510,6,83,88",27
corpus,ai for i,0,"400,410,5,6,83,88",12
corpus,ai for ii,0,"15,40,400,410,5,510,6,60,83,88",275
corpus,ai for m,1,"6,60",7
corpus,ai for r,0,410,1
corpus,ai for u,0,"15,400,510",4
corpus,ai for ā,0,60,1
corpus,ai for āi,0,"410,60,83",4
corpus,ai for ā̊,1,"400,410",4
corpus,ai for ē,0,83,1
corpus,ai for ī,0,15,1
corpus,ai for ə,0,"15,410,5,6,60,83,88",22
corpus,ai for ϑ,0,6,1
corpus,ai inserted,0,"15,400,410,5,6,83,88",22
corpus,au deleted,0,"400,5,510,83",9
corpus,au for a,0,"15,400,410,5,6,60",36
corpus,au for aō,0,"15,5,510,6,60,83,88",60
corpus,au for h,0,5,2
corpus,au for i,0,410,1
corpus,au for u,0,"15,410,510,6,88",7
corpus,au for uu,0,"15,400,410,5,510,6,60,83,88",49
corpus,au for v,0,60,1
corpus,au for āu,0,510,1
corpus,au for ō,0,"410,60",2
corpus,au inserted,0,"15,6,88",3
corpus,aē deleted,0,"400,410,60,83",10
corpus,aē for a,0,"15,40,400,410,510,6,60,83,88",98
corpus,aē for ai,0,"400,410,5,510,6,60,83,88",27
corpus,aē for au,0,"410,60,83",4
corpus,aē for e,0,"400,410,60,83",13
corpus,aē for i,0,"400,410,60,83",8
corpus,aē for ā,0,400,1
corpus,aē for ē,0,"400,410,60,88",10
corpus,aē for ī,0,"15,5,6,60,83,88",71
corpus,aē for ū,0,60,4
corpus,aē for ə,0,"400,410",12
corpus,aē for ə̄,0,"5,6,60,83,88",7
corpus,aē inserted,0,"400,410,510,6",9
corpus,aō deleted,0,"15,5,6,83",8
corpus,aō for a,0,"40,400,410,510,60,83,88",1232
corpus,aō for ai,0,510,1
corpus,aō for au,0,"400,510,88",7
corpus,aō for d,0,410,1
corpus,aō for m,0,83,1
corpus,aō for o,0,"400,410,60",17
corpus,aō for u,0,"15,410,6,60",5
corpus,aō for ā,0,"83,88",3
corpus,aō for āi,0,"510,83",3
corpus,aō for āu,0,"5,510",3
corpus,aō for ą,0,60,1
corpus,aō for ō,0,"40,400,410,5,6,60,83,88",85
corpus,aō for ōi,0,"15,400,410,5,6,60,83,88",62
corpus,aō for ū,0,"400,410",3
corpus,aō inserted,0,15,1
corpus,b deleted,0,6,2
corpus,b for d,0,83,2
corpus,b for e,0,"60,88",2
corpus,b for z,0,83,1
corpus,b for β,1,"400,410,60",4
corpus,c deleted,0,"5,6,60,83,88",12
