feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,final_raw,variant_likelihood,label
  deleted,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
  inserted,5.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
", inserted",1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
. deleted,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a deleted,256.0,9.0,0.9,3.0912925781559024,0.9305717913983687,0.26171875,0.0,0.0,0.6130726353495921,1.0,0.6130726353495921,0.663389497505908,variant
a for ai,50.0,9.0,0.9,2.9816082331552867,0.8975535134984266,0.352,0.0,0.0,0.6273883783746066,1.0,0.6273883783746066,0.6822931431312347,variant
a for au,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for aē,13.0,7.0,0.7,2.6612262562697895,0.8011089283857676,0.46923076923076923,0.22314355131420976,0.0969100130080564,0.5771214263553427,1.0,0.5771214263553427,0.6136612660294122,variant
a for aō,11.0,4.0,0.4,1.6858157091530304,0.5074810956166081,0.7363636363636363,0.6931471805599453,0.30102999566398114,0.4961156823446583,1.0,0.4961156823446583,0.49417378723096034,reading
a for c,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for e,39.0,10.0,1.0,3.0385906059022396,0.9147069169193652,0.34102564102564104,-0.0953101798043249,-0.04139268515822505,0.6577242367125178,1.0,0.6577242367125178,0.72037961894417,variant
a for h,3.0,3.0,0.3,1.584962500721156,0.47712125471966244,0.7,0.9162907318741551,0.3979400086720376,0.4589713149807212,1.0,0.4589713149807212,0.43876589642405833,reading
a for i,49.0,9.0,0.9,2.842622213058325,0.8557145524712843,0.42653061224489797,0.0,0.0,0.6355612911790456,1.0,0.6355612911790456,0.6928266861118183,variant
a for ii,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for m,5.0,4.0,0.4,1.9219280948873623,0.5785580060704263,0.6599999999999999,0.6931471805599453,0.30102999566398114,0.4947940008672037,1.0,0.4947940008672037,0.4921916361673134,reading
a for n,4.0,4.0,0.4,2.0,0.6020599913279624,0.6,0.6931471805599453,0.30102999566398114,0.4856694971815877,1.0,0.4856694971815877,0.4785174793065947,reading
a for o,2.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
a for t,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
a for u,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
a for ā,45.0,8.0,0.8,2.8049671980944613,0.8443792634799852,0.42000000000000004,0.10536051565782635,0.04575749056067514,0.6029584394540976,1.0,0.6029584394540976,0.6497067933103222,variant
a for āi,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for ā̊,5.0,3.0,0.3,1.3709505944546687,0.4126972515042214,0.78,0.9162907318741551,0.3979400086720376,0.46286531417686094,1.0,0.46286531417686094,0.44452726978353635,reading
a for ą,6.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
a for ē,4.0,2.0,0.2,0.8112781244591328,0.24421905028821556,0.85,1.2039728043259361,0.5228787452803376,0.42198657436410447,1.0,0.42198657436410447,0.3850706512780434,reading
a for ī,5.0,3.0,0.3,1.3709505944546687,0.4126972515042214,0.78,0.9162907318741551,0.3979400086720376,0.46286531417686094,1.0,0.46286531417686094,0.44452726978353635,reading
a for ō,11.0,7.0,0.7,2.73215889136457,0.8224617792207841,0.40909090909090906,0.22314355131420976,0.0969100130080564,0.5674246740291318,1.0,0.5674246740291318,0.599779884485417,reading
a for ōi,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for ū,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for ə,139.0,10.0,1.0,3.129812853912745,0.9421675498424263,0.2553956834532373,-0.0953101798043249,-0.04139268515822505,0.6431819055501821,1.0,0.6431819055501821,0.7024707937764498,variant
a for ə̄,5.0,4.0,0.4,1.9219280948873623,0.5785580060704263,0.6599999999999999,0.6931471805599453,0.30102999566398114,0.4947940008672037,1.0,0.4947940008672037,0.4921916361673134,reading
a for ϑ,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for ṇ,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a for ạ,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
a inserted,294.0,10.0,1.0,2.974457634892926,0.8954009689345133,0.36394557823129253,-0.0953101798043249,-0.04139268515822505,0.6586277340177176,1.0,0.6586277340177176,0.7214702773711443,variant
ai deleted,16.0,5.0,0.5,2.149397470347699,0.64703311117894,0.625,0.5108256237659907,0.22184874961635637,0.5262855902371885,1.0,0.5262855902371885,0.5393468611001253,reading
ai for a,207.0,10.0,1.0,3.170165130267071,0.9543147954184008,0.214975845410628,-0.0953101798043249,-0.04139268515822505,0.6361137574335235,1.0,0.6361137574335235,0.6935316829916175,variant
ai for au,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai for aē,27.0,7.0,0.7,2.383068983003922,0.7173752456206387,0.5592592592592593,0.22314355131420976,0.0969100130080564,0.578695128171183,1.0,0.578695128171183,0.6158974194475373,variant
ai for i,12.0,6.0,0.6,2.5220552088742005,0.7592142685917218,0.4833333333333334,0.3566749439387324,0.15490195998574316,0.5438721944791253,1.0,0.5438721944791253,0.5654309090835286,reading
ai for ii,275.0,10.0,1.0,3.0796084872647067,0.9270545295680543,0.2861818181818183,-0.0953101798043249,-0.04139268515822505,0.6471001841637344,1.0,0.6471001841637344,0.7073609438336884,variant
ai for m,7.0,2.0,0.2,0.9852281360342515,0.29658322151842303,0.8142857142857143,1.2039728043259361,0.5228787452803376,0.426149045743085,1.0,0.426149045743085,0.39100118635308784,reading
ai for r,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai for u,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
ai for ā,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai for āi,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
ai for ā̊,4.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
ai for ē,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai for ī,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai for ə,22.0,7.0,0.7,2.6647069161207506,0.8021567114056103,0.4636363636363637,0.22314355131420976,0.0969100130080564,0.575984770711702,1.0,0.575984770711702,0.6120431404560903,variant
ai for ϑ,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
ai inserted,22.0,7.0,0.7,2.313100666415769,0.696312683581491,0.6,0.22314355131420976,0.0969100130080564,0.5836146728465812,1.0,0.5836146728465812,0.6228559441015007,variant
au deleted,9.0,4.0,0.4,1.8365916681089791,0.55286918188735,0.7,0.6931471805599453,0.30102999566398114,0.4983717948214347,1.0,0.4983717948214347,0.4975577116560221,reading
au for a,36.0,6.0,0.6,1.9539684039196084,0.588203100159476,0.6944444444444444,0.3566749439387324,0.15490195998574316,0.5538971801488416,1.0,0.5538971801488416,0.5801485129019369,reading
au for aō,60.0,7.0,0.7,2.6810412667965324,0.8070738409187148,0.43666666666666665,0.22314355131420976,0.0969100130080564,0.5704716288475538,1.0,0.5704716288475538,0.6041601910269497,variant
au for h,2.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
au for i,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
au for u,7.0,5.0,0.5,2.235926350629032,0.6730808996348389,0.5857142857142857,0.5108256237659907,0.22184874961635637,0.5229761087797347,1.0,0.5229761087797347,0.5344096856408243,reading
au for uu,49.0,9.0,0.9,2.851323287340066,0.8583338368245886,0.43061224489795924,0.0,0.0,0.6372365204306369,1.0,0.6372365204306369,0.694961642539144,variant
au for v,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
au for āu,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
au for ō,2.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
au inserted,3.0,3.0,0.3,1.584962500721156,0.47712125471966244,0.7,0.9162907318741551,0.3979400086720376,0.4589713149807212,1.0,0.4589713149807212,0.43876589642405833,reading
aē deleted,10.0,4.0,0.4,1.8464393446710154,0.55583362792012,0.7,0.6931471805599453,0.30102999566398114,0.4991129063296271,1.0,0.4991129063296271,0.49866936263581535,reading
aē for a,98.0,9.0,0.9,1.9466837834561947,0.5860102108929608,0.6979591836734694,0.0,0.0,0.6359923486416076,1.0,0.6359923486416076,0.6933768318224331,variant
aē for ai,27.0,8.0,0.8,2.5787805576388956,0.7762903000843958,0.5222222222222223,0.10536051565782635,0.04575749056067514,0.6114917541607557,1.0,0.6114917541607557,0.6612681243699361,variant
aē for au,4.0,3.0,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.3979400086720376,0.4650772496747986,1.0,0.4650772496747986,0.4478066995293962,reading
aē for e,13.0,4.0,0.4,1.5465935642949382,0.4655710539536465,0.7615384615384615,0.6931471805599453,0.30102999566398114,0.4919318782226242,1.0,0.4919318782226242,0.4879001801400571,reading
aē for i,8.0,4.0,0.4,1.75,0.5268024924119671,0.725,0.6931471805599453,0.30102999566398114,0.49810512245258887,1.0,0.49810512245258887,0.49715771429501726,reading
aē for ā,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aē for ē,10.0,4.0,0.4,1.6854752972273344,0.5073786214160919,0.74,0.6931471805599453,0.30102999566398114,0.4969991547036201,1.0,0.4969991547036201,0.4954988536542206,reading
aē for ī,71.0,6.0,0.6,2.5261277916079212,0.760440238154395,0.4915492957746479,0.3566749439387324,0.15490195998574316,0.5462326774801223,1.0,0.5462326774801223,0.5689077192847125,reading
aē for ū,4.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aē for ə,12.0,2.0,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.5228787452803376,0.42368931070804594,1.0,0.42368931070804594,0.38749263237107945,reading
aē for ə̄,7.0,5.0,0.5,2.2359263506290326,0.673080899634839,0.5857142857142857,0.5108256237659907,0.22184874961635637,0.5229761087797347,1.0,0.5229761087797347,0.5344096856408243,reading
aē inserted,9.0,4.0,0.4,1.6577427265048887,0.49903028577176306,0.7444444444444445,0.6931471805599453,0.30102999566398114,0.496023181903649,1.0,0.496023181903649,0.4940350558610332,reading
aō deleted,8.0,4.0,0.4,1.5487949406953985,0.4662337342819318,0.75,0.6931471805599453,0.30102999566398114,0.48921293292008006,1.0,0.48921293292008006,0.4838250453787127,reading
