feature,total_freq,doc_freq,variant_likelihood,label
  deleted,2.0,1,0.0,reading
  inserted,5.0,1,0.0,reading
", inserted",1.0,1,0.0,reading
. deleted,1.0,1,0.0,reading
a deleted,256.0,9,0.0432563608560067,reading
a for ai,50.0,9,0.138384771864192,reading
a for au,2.0,1,0.0,reading
a for aē,13.0,7,0.2169967168748962,reading
a for aō,11.0,4,0.464820600047849,reading
a for c,2.0,1,0.0,reading
a for e,39.0,10,0.0534979135275633,reading
a for h,3.0,3,0.7562146819045672,variant
a for i,49.0,9,0.1164627861752498,reading
a for ii,1.0,1,0.0,reading
a for m,5.0,4,0.6295016904612775,reading
a for n,4.0,4,0.4263551722963961,reading
a for o,2.0,2,0.0,reading
a for t,3.0,2,0.947766263707773,variant
a for u,3.0,2,0.663436384595441,reading
a for ā,45.0,8,0.0902868935541284,reading
a for āi,1.0,1,0.0,reading
a for ā̊,5.0,3,0.3161221888615521,reading
a for ą,6.0,2,0.3791065054831092,reading
a for ē,4.0,2,0.6711355927434217,reading
a for ī,5.0,3,0.553213830507716,reading
a for ō,11.0,7,0.2029872457257515,reading
a for ōi,1.0,1,0.0,reading
a for ū,1.0,1,0.0,reading
a for ə,139.0,10,0.0339776365696667,reading
a for ə̄,5.0,4,0.4406511833228942,reading
a for ϑ,2.0,1,0.0,reading
a for ṇ,1.0,1,0.0,reading
a for ạ,1.0,1,0.0,reading
a inserted,294.0,10,0.034547401328715,reading
ai deleted,16.0,5,0.5236143511097389,reading
ai for a,207.0,10,0.0355453957956068,reading
ai for au,2.0,1,0.0,reading
ai for aē,27.0,7,0.2454821123970919,reading
ai for i,12.0,6,0.2728472694216465,reading
ai for ii,275.0,10,0.0417562062544467,reading
ai for m,7.0,2,0.9386522159315634,variant
ai for r,1.0,1,0.0,reading
ai for u,4.0,3,0.5421331587983224,reading
ai for ā,1.0,1,0.0,reading
ai for āi,4.0,3,0.3097903764561842,reading
ai for ā̊,4.0,2,0.934027841500776,variant
ai for ē,1.0,1,0.0,reading
ai for ī,1.0,1,0.0,reading
ai for ə,22.0,7,0.2158297229063492,reading
ai for ϑ,1.0,1,0.0,reading
ai inserted,22.0,7,0.3656144386785062,reading
au deleted,9.0,4,0.4516362234951799,reading
au for a,36.0,6,0.3359661598544859,reading
au for aō,60.0,7,0.2102232958595304,reading
au for h,2.0,1,0.0,reading
au for i,1.0,1,0.0,reading
au for u,7.0,5,0.3556224917418618,reading
au for uu,49.0,9,0.1168231191541098,reading
au for v,1.0,1,0.0,reading
au for āu,1.0,1,0.0,reading
au for ō,2.0,2,0.0,reading
au inserted,3.0,3,0.5293502773331971,reading
aē deleted,10.0,4,0.4512059808654386,reading
aē for a,98.0,9,0.2048480966935867,reading
aē for ai,27.0,8,0.1864290348535322,reading
aē for au,4.0,3,0.5421331587983224,reading
aē for e,13.0,4,0.4754703436835111,reading
aē for i,8.0,4,0.4599548378114305,reading
aē for ā,1.0,1,0.0,reading
aē for ē,10.0,4,0.4654951736661273,reading
aē for ī,71.0,6,0.2741598611155473,reading
