app_id,rdg_text,wit_list,variant_likelihood,feature,locus,reason,candidate_app_ids
,a for h,#ms0005 #ms0060 #ms0083,0.7562146819045672,a for h,corpus,no match in div,
,a for t,#ms0006 #ms0088,0.947766263707773,a for t,corpus,no match in div,
,ai for m,#ms0006 #ms0060,0.9386522159315634,ai for m,corpus,no match in div,
,ai for ā̊,#ms0400 #ms0410,0.934027841500776,ai for ā̊,corpus,no match in div,
,b for β,#ms0400 #ms0410 #ms0060,0.7744759411404606,b for β,corpus,no match in div,
,c for j,#ms0015 #ms0060 #ms0083,0.7903054721538801,c for j,corpus,no match in div,
,c for t,#ms0400 #ms0006 #ms0088,0.7705156393620193,c for t,corpus,no match in div,
,d for h,#ms0410 #ms0060 #ms0083,0.7744759411404606,d for h,corpus,no match in div,
,d for m,#ms0083 #ms0088,0.9731492083156194,d for m,corpus,no match in div,
,i for m,#ms0410 #ms0083,0.947766263707773,i for m,corpus,no match in div,
,i for o,#ms0400 #ms0410,0.9587651324906024,i for o,corpus,no match in div,
,i for r,#ms0400 #ms0005,0.947766263707773,i for r,corpus,no match in div,
,n for c,#ms0006 #ms0060,0.947766263707773,n for c,corpus,no match in div,
,n for r,#ms0410 #ms0510 #ms0060,0.7744759411404606,n for r,corpus,no match in div,
,n for t,#ms0410 #ms0006 #ms0088,0.7705156393620193,n for t,corpus,no match in div,
,p for β,#ms0410 #ms0060,0.947766263707773,p for β,corpus,no match in div,
,r for h,#ms0060 #ms0083 #ms0088,0.7744759411404606,r for h,corpus,no match in div,
,r for z,#ms0400 #ms0083,0.947766263707773,r for z,corpus,no match in div,
,s for m,#ms0510 #ms0060,0.947766263707773,s for m,corpus,no match in div,
,t for v,#ms0410 #ms0088,0.947766263707773,t for v,corpus,no match in div,
,t for δ,#ms0015 #ms0510 #ms0083,0.7903054721538801,t for δ,corpus,no match in div,
,t̰ for δ,#ms0015 #ms0400 #ms0410,0.7744759411404606,t̰ for δ,corpus,no match in div,
,t̰ inserted,#ms0015 #ms0006 #ms0060,0.7813451522439587,t̰ inserted,corpus,no match in div,
,u for o,#ms0400 #ms0410 #ms0060,0.8011234729680438,u for o,corpus,no match in div,
,u for p,#ms0510 #ms0083,0.9669335030887188,u for p,corpus,no match in div,
,u for v,#ms0005 #ms0006 #ms0060,0.7562146819045672,u for v,corpus,no match in div,
,u for āu,#ms0400 #ms0060,0.947766263707773,u for āu,corpus,no match in div,
,x for h,#ms0410 #ms0006,0.947766263707773,x for h,corpus,no match in div,
,x for xᵛ,#ms0015 #ms0006 #ms0083,0.7912975516959069,x for xᵛ,corpus,no match in div,
,x́ for xᵛ,#ms0400 #ms0088,0.9587651324906024,x́ for xᵛ,corpus,no match in div,
,xᵛ for x,#ms0410 #ms0006,0.9669335030887188,xᵛ for x,corpus,no match in div,
,xᵛ for x́,#ms0040 #ms0410,1.0,xᵛ for x́,corpus,no match in div,
,āi for a,#ms0005 #ms0088,0.934027841500776,āi for a,corpus,no match in div,
,āi for m,#ms0400 #ms0083 #ms0088,0.8130543613597753,āi for m,corpus,no match in div,
,āi for t,#ms0400 #ms0060,0.947766263707773,āi for t,corpus,no match in div,
,āu deleted,#ms0510 #ms0083,0.941024295263871,āu deleted,corpus,no match in div,
,ā̊ for āi,#ms0060 #ms0083,0.934027841500776,ā̊ for āi,corpus,no match in div,
,ą for m,#ms0400 #ms0410,0.934027841500776,ą for m,corpus,no match in div,
,ą̇ inserted,#ms0400 #ms0410,0.934027841500776,ą̇ inserted,corpus,no match in div,
,ē for a,#ms0400 #ms0410 #ms0006,0.7744759411404606,ē for a,corpus,no match in div,
,ń for o,#ms0400 #ms0410 #ms0510,0.7562146819045672,ń for o,corpus,no match in div,
,ŋ for a,#ms0400 #ms0083 #ms0088,0.7744759411404606,ŋ for a,corpus,no match in div,
,ŋᵛ for ŋ́,#ms0015 #ms0088,0.947766263707773,ŋᵛ for ŋ́,corpus,no match in div,
,ō for ā,#ms0410 #ms0060,0.9669335030887188,ō for ā,corpus,no match in div,
,ō for ā̊,#ms0005 #ms0006 #ms0060,0.7903054721538801,ō for ā̊,corpus,no match in div,
,ōi for o,#ms0400 #ms0410,0.9386522159315634,ōi for o,corpus,no match in div,
,ōi inserted,#ms0005 #ms0060 #ms0088,0.7562146819045672,ōi inserted,corpus,no match in div,
,ə for ā,#ms0006 #ms0083 #ms0088,0.7744759411404606,ə for ā,corpus,no match in div,
,ə for ą̇,#ms0400 #ms0410,0.947766263707773,ə for ą̇,corpus,no match in div,
,ɱ for m,#ms0410 #ms0005 #ms0083,0.8636837923738167,ɱ for m,corpus,no match in div,
,ṣ̌ inserted,#ms0015 #ms0400 #ms0005 #ms0510,0.7327030426918826,ṣ̌ inserted,corpus,no match in div,
