app_id,wit,lem,rdg,leading_punct_added,trailing_punct_added,cv_tail_absorbed
apparatus_multi_Y9_10mss.v3__app-Y9.1c-2-3,#ms0060,zaraϑuštrō.,zaraϑuštraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0008,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0015,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0060,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0083,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0088,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0400,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0410,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2a-1-2,#ms0083,mē.,mē.aē.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2a-1-2,#ms0088,mē.,.mē.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2a-3-4,#ms0060,paitiiaōxta.,paiti.aō,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0005,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0006,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0008,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0060,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0083,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0088,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0410,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-2-3,#ms0006,zaraϑuštra.,zara ϑuštrō,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0005,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0006,mąm.,.mąm.,1,0,0
